p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.0417000913085657,0.956,0.388,0,0,GZMH
0,0.9738523175251871,0.77,0.261,0,0,SERTAD1
0,0.9725108499026662,0.796,0.328,0,0,CMC1
0,0.9197876736160304,1,0.736,0,0,NKG7
0,0.8371620318316024,0.786,0.273,0,0,FGFBP2
0,0.7968620193860376,0.997,0.644,0,0,CST7
0,0.745829045158245,0.364,0.101,0,0,TRAV13-1
0,0.7226784162882767,0.8,0.334,0,0,HLA-DRB1
0,0.713626714496671,0.841,0.544,0,0,TUBA4A
0,0.7126712951764467,0.661,0.298,0,0,PMAIP1
0,0.7123132981492822,0.554,0.241,0,0,RHOB
0,0.7012738075182545,0.975,0.713,0,0,DUSP2
0,0.6554203016223672,0.859,0.618,0,0,MT2A
0,0.6451565052494546,0.832,0.415,0,0,HLA-DPA1
0,0.6181635332604163,0.734,0.413,0,0,DDIT4
0,0.6090169367902036,0.496,0.195,0,0,RGS1
0,0.5859318978652741,0.995,0.823,0,0,ZFP36
0,0.5837511500782737,0.607,0.302,0,0,CCL4
0,0.5817883364138994,0.686,0.306,0,0,BHLHE40
0,0.5805051448606943,0.732,0.363,0,0,TENT5C
0,0.5776285003445571,0.868,0.542,0,0,YPEL5
0,0.5545175691609101,0.947,0.461,0,0,RPS4Y1
0,0.5522773814628996,0.401,0.143,0,0,IFNG
0,0.5519891880114483,0.54,0.202,0,0,GZMB
0,0.5468453507354137,0.376,0.097,0,0,SERTAD3
0,0.5395390522811772,0.981,0.795,0,0,SRGN
0,0.5290426212997912,0.35,0.116,0,0,MT1E
0,0.5221508135462702,1,0.772,0,0,CCL5
0,0.5087155446257925,0.951,0.593,0,0,NFKBIA
0,0.501198647890848,0.519,0.187,0,0,HLA-DRB5
0,0.4934373906734506,0.99,0.808,0,0,KLF6
0,0.4928251631716365,1,0.984,0,0,H3F3B
0,0.491458638551339,0.373,0.088,0,0,ENC1
0,0.48483019368699787,0.928,0.724,0,0,HSPA5
0,0.4599062846730275,0.999,0.954,0,0,SH3BGRL3
0,0.45857970036664053,0.985,0.81,0,0,CD99
0,0.4506118678870883,0.996,0.933,0,0,GAPDH
0,0.45035620558478984,1,0.991,0,0,EIF1
0,0.44872554369754725,0.794,0.476,0,0,HLA-DPB1
0,0.44767815564643687,0.957,0.858,0,0,CD74
0,0.4463488666995086,0.697,0.425,0,0,PTGER4
0,0.44252025400840767,0.977,0.662,0,0,PPP1R15A
0,0.4399005224807224,0.954,0.804,0,0,KLF2
0,0.4383942788489643,0.81,0.563,0,0,GADD45B
0,0.4327328060092499,0.848,0.667,0,0,LDHA
0,0.43154713079631685,0.292,0.107,0,0,HLA-DRA
0,0.43132271362938246,0.973,0.816,0,0,IER2
0,0.43083286128073006,0.721,0.44,0,0,C12orf75
0,0.42882147643210844,0.523,0.201,0,0,ADGRG1
0,0.42346109650614894,0.986,0.888,0,0,PPDPF
0,0.4234380587834121,0.466,0.21,0,0,EFHD2
0,0.41763685014651664,0.939,0.732,0,0,CXCR4
0,0.41430837375295804,0.998,0.898,0,0,JUN
0,0.4116142608506869,0.385,0.175,0,0,RGS2
0,0.4095543836651827,0.998,0.966,0,0,UBC
0,0.4044691927383326,0.984,0.872,0,0,CTSW
0,0.40218900085762666,0.62,0.382,0,0,ODC1
0,0.40157750597560193,0.806,0.466,0,0,NR4A2
0,0.39977523090121814,0.504,0.275,0,0,TUBB4B
0,0.39806452894580047,0.78,0.568,0,0,SRSF2
0,0.39781413243432673,0.734,0.431,0,0,CSRNP1
0,0.3950516693665105,0.623,0.281,0,0,ZEB2
0,0.3814604730620179,0.914,0.741,0,0,GZMM
0,0.3801540355151525,0.767,0.558,0,0,CLEC2B
0,0.3799260401604472,0.992,0.898,0,0,TSC22D3
0,0.37934497830611047,0.995,0.825,0,0,DUSP1
0,0.3790140645209934,0.538,0.307,0,0,ZBTB1
0,0.3766553105910815,0.732,0.548,0,0,TUBA1B
0,0.36955681462848045,0.942,0.8,0,0,SRSF7
0,0.3591426062698684,0.948,0.828,0,0,UBB
0,0.35748686469037205,0.409,0.195,0,0,MAP3K8
0,0.3561139687790229,0.392,0.2,0,0,DDIT3
0,0.3553148661789114,0.828,0.621,0,0,FLNA
0,0.3522195101614478,0.517,0.33,0,0,RAB5IF
0,0.34773669870446766,0.423,0.205,0,0,LYST
0,0.34262401030537726,0.993,0.742,0,0,FOS
0,0.3362837803672256,0.733,0.52,0,0,SBDS
0,0.33605516903585864,0.71,0.392,0,0,KLRG1
0,0.33566604447506404,0.361,0.182,0,0,H2AFX
0,0.3345705644874286,0.352,0.14,0,0,C1orf21
0,0.33203361081638294,0.3,0.109,0,0,TTC38
0,0.33144831161654553,0.498,0.257,0,0,CYTOR
0,0.32889978250447677,0.38,0.193,0,0,ZC3H12A
0,0.3287743796565964,0.469,0.272,0,0,MRPL10
0,0.32810707811575845,0.762,0.554,0,0,ADGRE5
0,0.3280550837934635,0.863,0.603,0,0,BTG2
0,0.3230138828670095,0.703,0.485,0,0,CCNH
0,0.31984478083361,0.447,0.257,0,0,B3GNT2
0,0.3180029776864082,1,0.979,0,0,PFN1
0,0.31757927701509336,0.699,0.535,0,0,SCAND1
0,0.315425541720037,0.299,0.127,0,0,DUSP10
0,0.3151008187499631,0.889,0.763,0,0,RBM3
0,0.3139058723081336,0.751,0.573,0,0,GSTP1
0,0.3129178389390135,0.993,0.944,0,0,CALM1
0,0.3112623770240075,0.941,0.753,0,0,DNAJB1
0,0.30717320746139876,0.578,0.388,0,0,HERPUD1
0,0.3070696530133892,0.863,0.743,0,0,SUB1
0,0.3062686542616855,0.328,0.167,0,0,TUBA1C
0,0.3049642137779909,0.646,0.471,0,0,CRIP1
0,0.30448785214917434,0.347,0.173,0,0,BTG3
0,0.3039532296828882,0.668,0.43,0,0,GNLY
0,0.30361179828155316,0.642,0.467,0,0,SELENOK
0,0.3002897691932366,0.357,0.191,0,0,JMJD6
0,0.29739833532542115,0.393,0.227,0,0,RBM38
0,0.2942847417163019,0.656,0.438,0,0,AC016831.7
0,0.2930958656158178,0.877,0.734,0,0,TRBC2
0,0.28627054848879085,0.662,0.504,0,0,CYCS
0,0.28523647165316546,0.272,0.105,0,0,JAZF1
0,0.2849180701489715,0.837,0.686,0,0,GUK1
0,0.283123869447944,0.549,0.348,0,0,IFRD1
0,0.2822084661154797,0.488,0.333,0,0,BUD31
0,0.2813665245731187,0.659,0.495,0,0,MAP1LC3B
0,0.27903932839243994,0.582,0.416,0,0,TGFB1
0,0.27630515937654887,0.917,0.796,0,0,LITAF
0,0.2754446172281544,0.668,0.449,0,0,MYADM
0,0.2749729077976112,0.528,0.375,0,0,POMP
0,0.273676645583818,0.95,0.885,0,0,HSP90AA1
0,0.27333674877890646,0.664,0.48,0,0,TRBC1
0,0.26964039396267003,0.341,0.168,0,0,SPON2
0,0.26849713144805465,0.798,0.648,0,0,PPP1CA
0,0.26769789545615363,0.638,0.404,0,0,SYNE1
0,0.2676173938605422,0.553,0.395,0,0,MAPK1IP1L
